(1, 4, 48, 1, 1, 'Aluguel', 'Mensal', 'Dinheiro', '2024-01-26 11:00:00'),
(2, 8, 49, 2, 2, 'Aluguel', 'Anual', 'Boleto', '2024-02-17 14:00:00'),
(3, 12, 50, 3, 1, 'Aluguel', 'Mensal', 'Dinheiro', '2024-03-16 15:30:00'),
(4, 16, 51, 4, 1, 'Aluguel', 'Mensal', 'Cartão', '2024-04-17 10:30:00'),
(5, 20, 52, 5, 1, 'Aluguel', 'Anual', 'Dinheiro', '2024-05-17 12:00:00'),
(6, 24, 53, 6, 1, 'Aluguel', 'Mensal', 'Boleto', '2024-06-17 10:45:00'),
(7, 28, 54, 7, 1, 'Aluguel', 'Anual', 'Cartão', '2024-07-17 13:00:00'),
(8, 32, 55, 8, 1, 'Aluguel', 'Mensal', 'Dinheiro', '2024-08-17 12:30:00'),
(9, 36, 56, 9, 1, 'Aluguel', 'Anual', 'Boleto', '2024-09-17 13:45:00'),
(10, 40, 57, 10, 1, 'Aluguel', 'Mensal', 'Cartão', '2024-10-07 14:00:00'),
(11, 44, 58, 11, 2, 'Aluguel', 'Anual', 'Dinheiro', '2024-10-27 11:00:00'),
(12, 48, 59, 12, 1, 'Aluguel', 'Mensal', 'Boleto', '2024-11-16 11:00:00'),
(13, 52, 60, 13, 1, 'Aluguel', 'Anual', 'Cartão', '2024-12-07 11:15:00'),
(14, 56, 61, 14, 1, 'Aluguel', 'Mensal', 'Dinheiro', '2024-01-26 11:00:00'),
(15, 60, 62, 15, 2, 'Aluguel', 'Anual', 'Boleto', '2024-02-17 09:00:00'),
(16, 64, 63, 16, 3, 'Aluguel', 'Mensal', 'Dinheiro', '2024-03-16 13:30:00'),
(17, 68, 64, 17, 3, 'Aluguel', 'Mensal', 'Cartão', '2024-04-17 10:30:00'),
(18, 72, 65, 18, 3, 'Aluguel', 'Anual', 'Dinheiro', '2024-05-17 12:00:00'),
(19, 76, 66, 19, 1, 'Aluguel', 'Mensal', 'Boleto', '2024-06-17 10:45:00'),
(20, 80, 67, 20, 4, 'Aluguel', 'Anual', 'Cartão', '2024-07-17 13:00:00'),
(21, 84, 68, 21, 4, 'Aluguel', 'Mensal', 'Dinheiro', '2024-08-17 12:30:00'),
(22, 88, 69, 22, 1, 'Aluguel', 'Anual', 'Boleto', '2024-09-17 13:45:00'),
(23, 92, 70, 23, 1, 'Aluguel', 'Mensal', 'Cartão', '2024-10-07 14:00:00'),
(24, 96, 22, 25, 1, 'Aluguel', 'Anual', 'Dinheiro', '2024-10-27 11:00:00'),
(25, 100, 22, 27, 1, 'Aluguel', 'Mensal', 'Boleto', '2024-11-16 11:00:00'),
(26, 104, 23, 29, 1, 'Aluguel', 'Anual', 'Cartão', '2024-12-07 11:15:00'),
(27, 108, 24, 32, 1, 'Aluguel', 'Mensal', 'Dinheiro', '2024-01-26 11:00:00'),
(28, 112, 24, 35, 2, 'Aluguel', 'Anual', 'Boleto', '2024-02-17 09:00:00'),
(29, 116, 25, 38, 3, 'Aluguel', 'Mensal', 'Dinheiro', '2024-03-16 13:30:00'),
(30, 120, 26, 40, 4, 'Aluguel', 'Mensal', 'Cartão', '2024-04-17 10:30:00'),
(31, 124, 26, 43, 1, 'Aluguel', 'Anual', 'Dinheiro', '2024-05-17 12:00:00'),
(32, 128, 27, 46, 1, 'Aluguel', 'Mensal', 'Boleto', '2024-06-17 10:45:00'),
(33, 132, 28, 48, 1, 'Aluguel', 'Anual', 'Cartão', '2024-07-17 13:00:00'),
(34, 136, 28, 50, 1, 'Aluguel', 'Mensal', 'Dinheiro', '2024-08-17 12:30:00'),
(35, 140, 29, 52, 1, 'Aluguel', 'Anual', 'Boleto', '2024-09-17 13:45:00'),
(36, 144, 29, 54, 1, 'Aluguel', 'Mensal', 'Cartão', '2024-10-07 14:00:00'),
(37, 148, 30, 57, 1, 'Aluguel', 'Anual', 'Dinheiro', '2024-10-27 11:00:00'),
(38, 152, 30, 59, 1, 'Aluguel', 'Mensal', 'Boleto', '2024-11-16 11:00:00'),
(39, 156, 31, 61, 3, 'Aluguel', 'Anual', 'Cartão', '2024-12-07 11:15:00'),
(40, 160, 32, 64, 1, 'Aluguel', 'Mensal', 'Dinheiro', '2024-01-26 11:00:00'),
(41, 164, 32, 66, 2, 'Aluguel', 'Anual', 'Boleto', '2024-02-17 09:00:00'),
(42, 168, 33, 69, 3, 'Aluguel', 'Mensal', 'Dinheiro', '2024-03-16 13:30:00'),
(43, 172, 34, 72, 4, 'Aluguel', 'Mensal', 'Cartão', '2024-04-17 10:30:00'),
(44, 176, 34, 75, 1, 'Aluguel', 'Anual', 'Dinheiro', '2024-05-17 12:00:00'),
(45, 180, 35, 77, 1, 'Aluguel', 'Mensal', 'Boleto', '2024-06-17 10:45:00'),






(46, 184, 54, 7, 1, 'Aluguel', 'Anual', 'Cartão', '2024-07-17 13:00:00'),
(47, 188, 55, 8, 3, 'Aluguel', 'Mensal', 'Dinheiro', '2024-08-17 12:30:00'),
(48, 192, 56, 9, 3, 'Aluguel', 'Anual', 'Boleto', '2024-09-17 13:45:00'),
(49, 196, 0, 0, 3, 'Aluguel', 'Mensal', 'Cartão', '2024-10-07 14:00:00'),
(50, 200, 0, 0, 1, 'Aluguel', 'Anual', 'Dinheiro', '2024-10-27 11:00:00'),
(51, 204, 0, 0, 2, 'Aluguel', 'Mensal', 'Boleto', '2024-11-16 11:00:00'),
(52, 208, 0, 0, 2, 'Aluguel', 'Anual', 'Cartão', '2024-12-07 11:15:00'),
(53, 212, 0, 0, 2, 'Aluguel', 'Mensal', 'Dinheiro', '2024-01-26 11:00:00'),
(54, 216, 0, 0, 1, 'Aluguel', 'Anual', 'Boleto', '2024-02-17 09:00:00'),
(55, 220, 0, 0, 2, 'Aluguel', 'Mensal', 'Dinheiro', '2024-03-16 13:30:00'),
(56, 224, 0, 0, 2, 'Aluguel', 'Anual', 'Cartão', '2024-04-17 10:30:00'),
(57, 228, 0, 0, 2, 'Aluguel', 'Mensal', 'Dinheiro', '2024-05-17 12:00:00'),
(58, 232, 0, 0, 1, 'Aluguel', 'Anual', 'Boleto', '2024-06-17 10:45:00'),
(59, 236, 0, 0, 1, 'Aluguel', 'Mensal', 'Cartão', '2024-07-17 13:00:00'),
(60, 240, 0, 0, 1, 'Aluguel', 'Anual', 'Dinheiro', '2024-08-17 12:30:00'),
(61, 244, 0, 0, 1, 'Aluguel', 'Mensal', 'Boleto', '2024-09-17 13:45:00'),
(62, 248, 0, 0, 1, 'Aluguel', 'Anual', 'Cartão', '2024-10-07 14:00:00'),
(63, 252, 0, 0, 2, 'Aluguel', 'Mensal', 'Dinheiro', '2024-10-27 11:00:00'),
(64, 256, 0, 0, 3, 'Aluguel', 'Anual', 'Boleto', '2024-11-16 11:00:00'),
(65, 260, 0, 0, 1, 'Aluguel', 'Mensal', 'Dinheiro', '2024-01-26 11:00:00'),
